date,volume,open,close,high,low,adjclose
2018-11-15,0,25.51300048828125,25.51300048828125,25.51300048828125,25.51300048828125,25.51300048828125
2018-11-14,0,25.51300048828125,25.51300048828125,25.51300048828125,25.51300048828125,25.51300048828125
2018-11-13,100,25.51300048828125,25.51300048828125,25.51300048828125,25.51300048828125,25.51300048828125
2018-11-12,3000,25.799999237060547,25.634000778198242,25.799999237060547,25.634000778198242,25.634000778198242
2018-11-09,200,25.610000610351562,25.610000610351562,25.610000610351562,25.610000610351562,25.610000610351562
2018-11-08,1000,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234
2018-11-07,1100,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234
2018-11-06,0,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234
2018-11-05,100,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234
2018-11-02,0,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234
2018-11-01,500,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234,25.452999114990234
2018-10-31,100,25.290000915527344,25.290000915527344,25.290000915527344,25.290000915527344,25.290000915527344
2018-10-30,0,25.290000915527344,25.290000915527344,25.290000915527344,25.290000915527344,25.290000915527344
2018-10-29,200,25.290000915527344,25.290000915527344,25.290000915527344,25.290000915527344,25.290000915527344
2018-10-26,0,25.402999877929688,25.402999877929688,25.402999877929688,25.402999877929688,25.402999877929688
2018-10-25,400,25.402999877929688,25.402999877929688,25.402999877929688,25.402999877929688,25.402999877929688
2018-10-24,0,25.389999389648438,25.389999389648438,25.389999389648438,25.389999389648438,25.389999389648438
2018-10-23,100,25.389999389648438,25.389999389648438,25.389999389648438,25.389999389648438,25.389999389648438
2018-10-22,200,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727
2018-10-19,200,25.6299991607666,25.6299991607666,25.6299991607666,25.6299991607666,25.6299991607666
2018-10-18,1700,25.75,25.74799919128418,25.75,25.729999542236328,25.74799919128418
2018-10-17,0,26.0,26.0,26.0,26.0,26.0
2018-10-16,500,25.799999237060547,26.0,26.0,25.799999237060547,26.0
2018-10-15,0,26.15999984741211,26.15999984741211,26.15999984741211,26.15999984741211,26.15999984741211
2018-10-12,0,26.15999984741211,26.15999984741211,26.15999984741211,26.15999984741211,26.15999984741211
2018-10-11,0,26.15999984741211,26.15999984741211,26.15999984741211,26.15999984741211,26.15999984741211
2018-10-10,4500,26.100000381469727,26.15999984741211,26.239999771118164,26.100000381469727,26.15999984741211
2018-10-09,0,26.545000076293945,26.545000076293945,26.545000076293945,26.545000076293945,26.545000076293945
2018-10-08,0,26.545000076293945,26.545000076293945,26.545000076293945,26.545000076293945,26.545000076293945
2018-10-05,0,26.545000076293945,26.545000076293945,26.545000076293945,26.545000076293945,26.545000076293945
2018-10-04,0,26.545000076293945,26.545000076293945,26.545000076293945,26.545000076293945,26.545000076293945
2018-10-03,4400,26.736000061035156,26.545000076293945,26.736000061035156,26.545000076293945,26.545000076293945
2018-10-02,0,26.75,26.75,26.75,26.75,26.75
2018-10-01,0,26.75,26.75,26.75,26.75,26.75
2018-09-28,0,26.75,26.75,26.75,26.75,26.75
2018-09-27,2800,26.75,26.75,26.75,26.75,26.75
2018-09-26,700,26.739999771118164,26.739999771118164,26.739999771118164,26.739999771118164,26.739999771118164
2018-09-25,1800,27.0,27.0,27.0,27.0,27.0
2018-09-24,0,26.969999313354492,26.969999313354492,26.969999313354492,26.969999313354492,26.969999313354492
2018-09-21,800,26.8700008392334,26.969999313354492,26.969999313354492,26.8700008392334,26.969999313354492
2018-09-20,0,26.84000015258789,26.84000015258789,26.84000015258789,26.84000015258789,26.84000015258789
2018-09-19,500,26.84000015258789,26.84000015258789,26.84000015258789,26.84000015258789,26.84000015258789
2018-09-18,0,26.8700008392334,26.8700008392334,26.8700008392334,26.8700008392334,26.8700008392334
2018-09-17,100,26.8700008392334,26.8700008392334,26.8700008392334,26.8700008392334,26.8700008392334
2018-09-14,200,26.81999969482422,26.81999969482422,26.81999969482422,26.81999969482422,26.81999969482422
2018-09-13,300,26.899999618530273,26.899999618530273,26.899999618530273,26.899999618530273,26.899999618530273
2018-09-12,0,26.860000610351562,26.860000610351562,26.860000610351562,26.860000610351562,26.860000610351562
2018-09-11,0,26.860000610351562,26.860000610351562,26.860000610351562,26.860000610351562,26.860000610351562
2018-09-10,0,26.860000610351562,26.860000610351562,26.860000610351562,26.860000610351562,26.860000610351562
2018-09-07,1300,26.864999771118164,26.860000610351562,26.864999771118164,26.854999542236328,26.860000610351562
2018-09-06,0,27.020000457763672,27.020000457763672,27.020000457763672,27.020000457763672,27.020000457763672
2018-09-05,0,27.020000457763672,27.020000457763672,27.020000457763672,27.020000457763672,27.020000457763672
2018-09-04,500,27.200000762939453,27.020000457763672,27.200000762939453,27.020000457763672,27.020000457763672
2018-08-31,1900,27.125,27.149999618530273,27.149999618530273,27.125,27.149999618530273
2018-08-30,0,27.09000015258789,27.09000015258789,27.09000015258789,27.09000015258789,27.09000015258789
2018-08-29,0,27.09000015258789,27.09000015258789,27.09000015258789,27.09000015258789,27.09000015258789
2018-08-28,1100,27.0,27.09000015258789,27.1299991607666,27.0,27.09000015258789
2018-08-27,200,27.104999542236328,27.104999542236328,27.104999542236328,27.104999542236328,27.104999542236328
2018-08-24,0,26.871999740600586,26.871999740600586,26.871999740600586,26.871999740600586,26.871999740600586
2018-08-23,16100,26.90999984741211,26.871999740600586,26.920000076293945,26.871999740600586,26.871999740600586
2018-08-22,5700,26.950000762939453,26.969999313354492,26.969999313354492,26.8799991607666,26.969999313354492
2018-08-21,0,26.950000762939453,26.950000762939453,26.950000762939453,26.950000762939453,26.950000762939453
2018-08-20,1100,26.950000762939453,26.950000762939453,26.950000762939453,26.950000762939453,26.950000762939453
2018-08-17,0,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453
2018-08-16,300,26.610000610351562,26.700000762939453,26.700000762939453,26.610000610351562,26.700000762939453
2018-08-15,400,26.395999908447266,26.329999923706055,26.395999908447266,26.329999923706055,26.329999923706055
